id,iupac,formula,trivial,casrn,inchikey,subcat_id,
2901,"2,2'',3,4,4'',5,6''-heptachlorobiphenyl",C<sub>12</sub>H<sub>3</sub>Cl<sub>7</sub>,PCB-182,60145-23-5,RXRLRYZUMSYVLS-UHFFFAOYSA-N,40,
2902,"2,2'',3,4,4'',5'',6-heptachlorobiphenyl",C<sub>12</sub>H<sub>3</sub>Cl<sub>7</sub>,PCB-183,52663-69-1,KQBFUDNJKCZEDQ-UHFFFAOYSA-N,40,
2903,"2,2'',3,4,4'',6,6''-heptachlorobiphenyl",C<sub>12</sub>H<sub>3</sub>Cl<sub>7</sub>,PCB-184,74472-48-3,OBIUJJSQKPGKME-UHFFFAOYSA-N,40,
2904,"2,2'',3,4,5,5'',6-heptachlorobiphenyl",C<sub>12</sub>H<sub>3</sub>Cl<sub>7</sub>,PCB-185,52712-05-7,PYZHTHZEHQHHEN-UHFFFAOYSA-N,40,
2905,"2,2'',3,4,5,6,6''-heptachlorobiphenyl",C<sub>12</sub>H<sub>3</sub>Cl<sub>7</sub>,PCB-186,74472-49-4,FGDPOTMRBQHPJK-UHFFFAOYSA-N,40,
2906,"2,2'',3,4'',5,5'',6-heptachlorobiphenyl",C<sub>12</sub>H<sub>3</sub>Cl<sub>7</sub>,PCB-187,52663-68-0,UDMZPLROONOSEF-UHFFFAOYSA-N,40,
2907,"2,2'',3,4'',5,6,6''-heptachlorobiphenyl",C<sub>12</sub>H<sub>3</sub>Cl<sub>7</sub>,PCB-188,74487-85-7,MMTJWDQKGUNSDK-UHFFFAOYSA-N,40,
2908,"2,3,3'',4,4'',5,5''-heptachlorobiphenyl",C<sub>12</sub>H<sub>3</sub>Cl<sub>7</sub>,PCB-189,39635-31-9,XUAWBXBYHDRROL-UHFFFAOYSA-N,40,
2909,"2,3,3'',4,4'',5,6-heptachlorobiphenyl",C<sub>12</sub>H<sub>3</sub>Cl<sub>7</sub>,PCB-190,41411-64-7,TYEDCFVCFDKSBK-UHFFFAOYSA-N,40,
2910,"2,3,3'',4,4'',5'',6-heptachlorobiphenyl",C<sub>12</sub>H<sub>3</sub>Cl<sub>7</sub>,PCB-191,74472-50-7,TVFXBXWAXIMLAQ-UHFFFAOYSA-N,40,
2911,"2,3,3'',4,5,5'',6-heptachlorobiphenyl",C<sub>12</sub>H<sub>3</sub>Cl<sub>7</sub>,PCB-192,74472-51-8,ZUTDUGMNROUBOX-UHFFFAOYSA-N,40,
2912,"2,3,3'',4'',5,5'',6-heptachlorobiphenyl",C<sub>12</sub>H<sub>3</sub>Cl<sub>7</sub>,PCB-193,69782-91-8,SSTJUBQGYXNFFP-UHFFFAOYSA-N,40,
2913,"2,2'',3,3'',4,4'',5,5''-octachlorobiphenyl",C<sub>12</sub>H<sub>2</sub>Cl<sub>8</sub>,PCB-194,35694-08-7,DTMRKGRREZAYAP-UHFFFAOYSA-N,40,
2914,"2,2'',3,3'',4,4'',5,6-octachlorobiphenyl",C<sub>12</sub>H<sub>2</sub>Cl<sub>8</sub>,PCB-195,52663-78-2,JAHJITLFJSDRCG-UHFFFAOYSA-N,40,
2915,"2,2'',3,3'',4,4'',5,6''-octachlorobiphenyl",C<sub>12</sub>H<sub>2</sub>Cl<sub>8</sub>,PCB-196,42740-50-1,BQFCCUSDZLKBJG-UHFFFAOYSA-N,40,
2916,"2,2'',3,3'',4,4'',6,6''-octachlorobiphenyl",C<sub>12</sub>H<sub>2</sub>Cl<sub>8</sub>,PCB-197,33091-17-7,YPDBBDKYNWRFMF-UHFFFAOYSA-N,40,
2917,"2,2'',3,3'',4,5,5'',6-octachlorobiphenyl",C<sub>12</sub>H<sub>2</sub>Cl<sub>8</sub>,PCB-198,68194-17-2,PJHBSPRZHUOIAS-UHFFFAOYSA-N,40,
2918,"2,2'',3,3'',4,5,5'',6''-octachlorobiphenyl",C<sub>12</sub>H<sub>2</sub>Cl<sub>8</sub>,PCB-199,52663-75-9,HJBYDWKNARZTMJ-UHFFFAOYSA-N,40,
2919,"2,2'',3,3'',4,5,6,6''-octachlorobiphenyl",C<sub>12</sub>H<sub>2</sub>Cl<sub>8</sub>,PCB-200,52663-73-7,HHXNVASVVVNNDG-UHFFFAOYSA-N,40,
2920,"2,2'',3,3'',4,5'',6,6''-octachlorobiphenyl",C<sub>12</sub>H<sub>2</sub>Cl<sub>8</sub>,PCB-201,40186-71-8,LJQOBQLZTUSEJA-UHFFFAOYSA-N,40,
2921,"2,2'',3,3'',5,5'',6,6''-octachlorobiphenyl",C<sub>12</sub>H<sub>2</sub>Cl<sub>8</sub>,PCB-202,2136-99-4,JPOPEORRMSDUIP-UHFFFAOYSA-N,40,
3702,trifluoroacetylchloride,CF<sub>3</sub>COCl,,354-32-5,PNQBEPDZQUOCNY-UHFFFAOYSA-N,46,
2922,"2,2'',3,4,4'',5,5'',6-octachlorobiphenyl",C<sub>12</sub>H<sub>2</sub>Cl<sub>8</sub>,PCB-203,52663-76-0,DCPDZFRGNJDWPP-UHFFFAOYSA-N,40,
2923,"2,2'',3,4,4'',5,6,6''-octachlorobiphenyl",C<sub>12</sub>H<sub>2</sub>Cl<sub>8</sub>,PCB-204,74472-52-9,JDZUWXRNKHXZFE-UHFFFAOYSA-N,40,
2924,"2,3,3'',4,4'',5,5'',6-octachlorobiphenyl",C<sub>12</sub>H<sub>2</sub>Cl<sub>8</sub>,PCB-205,74472-53-0,VXXBCDUYUQKWCK-UHFFFAOYSA-N,40,
2925,"2,2'',3,3'',4,4'',5,5'',6-nonachlorobiphenyl",C<sub>12</sub>HCl<sub>9</sub>,PCB-206,40186-72-9,JFIMDKGRGPNPRQ-UHFFFAOYSA-N,40,
2926,"2,2'',3,3'',4,4'',5,6,6''-nonachlorobiphenyl",C<sub>12</sub>HCl<sub>9</sub>,PCB-207,52663-79-3,YGDPIDTZOQGPAX-UHFFFAOYSA-N,40,
2927,"2,2'',3,3'',4,5,5'',6,6''-nonachlorobiphenyl",C<sub>12</sub>HCl<sub>9</sub>,PCB-208,52663-77-1,XIFFTDRFWYFAPO-UHFFFAOYSA-N,40,
2928,decachlorobiphenyl,C<sub>12</sub>Cl<sub>10</sub>,PCB-209,2051-24-3,ONXPZLFXDMAPRO-UHFFFAOYSA-N,40,
2929,phosgene,CCl<sub>2</sub>O,,75-44-5,YGYAWVDWMABLBF-UHFFFAOYSA-N,41,
2930,dichloroacetaldehyde,C<sub>2</sub>H<sub>2</sub>Cl<sub>2</sub>O,,79-02-7,NWQWQKUXRJYXFH-UHFFFAOYSA-N,41,
2931,chloroacetyl chloride,C<sub>2</sub>H<sub>2</sub>Cl<sub>2</sub>O,,79-04-9,VGCXGMAHQTYDJK-UHFFFAOYSA-N,41,
2932,chloral hydrate,C<sub>2</sub>H<sub>3</sub>Cl<sub>3</sub>O<sub>2</sub>,,302-17-0,RNFNDJAIBTYOQL-UHFFFAOYSA-N,41,
2933,chloroacetaldehyde,C<sub>2</sub>H<sub>3</sub>ClO,,107-20-0,QSKPIOLLBIHNAC-UHFFFAOYSA-N,41,
2934,2-chloroethanol,C<sub>2</sub>H<sub>5</sub>ClO,,107-07-3,SZIFAVKTNFCBPC-UHFFFAOYSA-N,41,
2935,2-chloroethanol-d4,ClC<sub>2</sub>D<sub>4</sub>OH,,117067-62-6,SZIFAVKTNFCBPC-LNLMKGTHSA-N,41,
2936,"1,1,1-trichloro-2-propanone",C<sub>3</sub>H<sub>3</sub>Cl<sub>3</sub>O,,918-00-3,SMZHKGXSEAGRTI-UHFFFAOYSA-N,41,
2937,"1,1-dichloro-2-propanone",C<sub>3</sub>H<sub>4</sub>Cl<sub>2</sub>O,"1,1-dichloroacetone",513-88-2,CSVFWMMPUJDVKH-UHFFFAOYSA-N,41,
2938,"carbonochloridic acid, 2-chloroethyl ester",C<sub>3</sub>H<sub>4</sub>Cl<sub>2</sub>O<sub>2</sub>,chloroethyl chloroformate,627-11-2,SVDDJQGVOFZBNX-UHFFFAOYSA-N,41,
2939,"carbonochloridic acid, ethyl ester",C<sub>3</sub>H<sub>5</sub>ClO<sub>2</sub>,ethyl chloroformate,541-41-3,RIFGWPKJUGCATF-UHFFFAOYSA-N,41,
2940,2-chloropropanoic acid,C<sub>3</sub>H<sub>5</sub>ClO<sub>2</sub>,,598-78-7,GAWAYYRQGQZKCR-UHFFFAOYSA-N,41,
2941,"2,3-dichloro-1-propanol",C<sub>3</sub>H<sub>6</sub>Cl<sub>2</sub>O,,616-23-9,ZXCYIJGIGSDJQQ-UHFFFAOYSA-N,41,
2942,"1,3-dichloro-2-propanol",C<sub>3</sub>H<sub>6</sub>Cl<sub>2</sub>O,,96-23-1,DEWLEGDTCGBNGU-UHFFFAOYSA-N,41,
2943,"3-chloro-1,2-propanediol",C<sub>3</sub>H<sub>7</sub>ClO<sub>2</sub>,,96-24-2,SSZWWUDQMAHNAQ-UHFFFAOYSA-N,41,
2944,1-chloro-2-propanol,C<sub>3</sub>H<sub>7</sub>ClO,,127-00-4,YYTSGNJTASLUOY-UHFFFAOYSA-N,41,
2945,2-chloro-1-propanol,C<sub>3</sub>H<sub>7</sub>ClO,,78-89-7,VZIQXGLTRZLBEX-UHFFFAOYSA-N,41,
2946,trichloroethanal,CCl<sub>3</sub>CHO,trichloroacetaldehyde; chloral,75-87-6,HFFLGKNGCAIQMO-UHFFFAOYSA-N,41,
2947,chloro-2-propanone,CH<sub>2</sub>ClCOCH<sub>3</sub>,chloroacetone,78-95-5,BULLHNJGPPOUOX-UHFFFAOYSA-N,41,
2948,chloroethanoic acid,CH<sub>2</sub>ClCOOH,chloroacetic acid,79-11-8,FOCAUTSVDIKZOP-UHFFFAOYSA-N,41,
2949,dichloroethanoic acid,CHCl<sub>2</sub>COOH,dichloroacetic acid,79-43-6,JXTHNDFMNIQAHM-UHFFFAOYSA-N,41,
2950,trichloroethanoic acid,CCl<sub>3</sub>COOH,trichloroacetic acid,76-03-9,YNJBWRMUSHSURL-UHFFFAOYSA-N,41,
2951,"2,2-dichloro-propanoic acid",C<sub>3</sub>H<sub>4</sub>Cl<sub>2</sub>O<sub>2</sub>,,75-99-0,NDUPDOJHUQKPAG-UHFFFAOYSA-N,41,
2952,trichloroacetylchloride,CCl<sub>3</sub>COCl,,76-02-8,PVFOMCVHYWHZJE-UHFFFAOYSA-N,41,
2953,hexachloroacetone,C<sub>3</sub>Cl<sub>6</sub>O,,116-16-5,DOJXGHGHTWFZHK-UHFFFAOYSA-N,41,
2954,(chloromethyl)-oxirane,C<sub>3</sub>H<sub>5</sub>ClO,epichlorohydrin,106-89-8,BRLQWZUYTZBJKN-UHFFFAOYSA-N,41,
2955,methyl chloroethanoate,C<sub>3</sub>H<sub>5</sub>ClO<sub>2</sub>,,96-34-4,QABLOFMHHSOFRJ-UHFFFAOYSA-N,41,
2956,ethyl chloroethanoate,C<sub>4</sub>H<sub>7</sub>ClO<sub>2</sub>,,105-39-5,VEUUMBGHMNQHGO-UHFFFAOYSA-N,41,
2957,chloroacetic acid anhydride,C<sub>4</sub>H<sub>4</sub>Cl<sub>2</sub>O<sub>3</sub>,,541-88-8,PNVPNXKRAUBJGW-UHFFFAOYSA-N,41,
2958,"carbonochloridic acid, 1-methylethyl ester",C<sub>4</sub>H<sub>7</sub>ClO<sub>2</sub>,,108-23-6,IVRIRQXJSNCSPQ-UHFFFAOYSA-N,41,
2959,chlorobutanol,C<sub>4</sub>H<sub>9</sub>ClO,,1320-66-7,OSASVXMJTNOKOY-UHFFFAOYSA-N,41,
2960,3-chloro-4-(dichloromethyl)-2-(5H)-furanone,C<sub>5</sub>H<sub>3</sub>Cl<sub>3</sub>O<sub>2</sub>,,122551-89-7,WNQKLIFDPFSPIZ-UHFFFAOYSA-N,41,
2961,3-chloro-4-(dichloromethyl)-5-hydroxy-2-(5H)-furanone,C<sub>5</sub>H<sub>3</sub>Cl<sub>3</sub>O<sub>3</sub>,,77439-76-0,WNTRMRXAGJOLCU-UHFFFAOYSA-N,41,
2962,"1,2,4-trichloro-2-methyl-3-pentanone",C<sub>6</sub>H<sub>9</sub>Cl<sub>3</sub>O,,145556-04-3,KAUWEMQJFDRELR-UHFFFAOYSA-N,41,
2963,bis(2-chloroisopropyl) ether,C<sub>6</sub>H<sub>12</sub>Cl<sub>2</sub>O,,39638-32-9,BULHJTXRZFEUDQ-UHFFFAOYSA-N,41,
2964,"butyl 2,2,3,4,4-pentachloro-3-butenoate",C<sub>8</sub>H<sub>9</sub>Cl<sub>5</sub>O<sub>2</sub>,,75147-20-5,JZJILZTVTMMGAR-UHFFFAOYSA-N,41,
2965,"3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropane carbonyl chloride",C<sub>8</sub>H<sub>9</sub>Cl<sub>3</sub>O,,52314-67-7,CHLAOFANYRDCPD-UHFFFAOYSA-N,41,
2966,"3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropane carboxylic acid",C<sub>8</sub>H<sub>10</sub>Cl<sub>2</sub>O<sub>2</sub>,,55701-05-8,LLMLSUSAKZVFOA-UHFFFAOYSA-N,41,
2967,"hexanoic acid, 3,3-dimethyl-4,6,6,6-tetrachloro, methyl ester",C<sub>9</sub>H<sub>14</sub>Cl<sub>4</sub>O<sub>2</sub>,,64667-33-0,POFHGKISWXYKLB-UHFFFAOYSA-N,41,
2968,"methyl 3-(2,2-dichlorovinyl)-2,2-dimethylcyclopropanecarboxylate",C<sub>9</sub>H<sub>12</sub>Cl<sub>2</sub>O<sub>2</sub>,,61898-95-1,QJOOIMSFFIUFKX-UHFFFAOYSA-N,41,
2969,oxychlordane,C<sub>10</sub>H<sub>4</sub>Cl<sub>8</sub>O,,27304-13-8,VWGNQYSIWFHEQU-UHFFFAOYSA-N,41,
2970,kepone,C<sub>10</sub>Cl<sub>10</sub>O,,143-50-0,LHHGDZSESBACKH-UHFFFAOYSA-N,41,
2971,(2-chloroethoxy)-ethene,C<sub>4</sub>H<sub>7</sub>ClO,2-chloroethylvinylether,110-75-8,DNJRKFKAFWSXSE-UHFFFAOYSA-N,41,
2972,bis-(2-chloroethoxy)-methane,C<sub>5</sub>H<sub>10</sub>Cl<sub>2</sub>O<sub>2</sub>,,111-91-1,NLXGURFLBLRZRO-UHFFFAOYSA-N,41,
2973,bis-(chloromethyl) ether,C<sub>2</sub>H<sub>4</sub>Cl<sub>2</sub>O,,542-88-1,HRQGCQVOJVTVLU-UHFFFAOYSA-N,41,
2974,"1,5-dichloro-3-oxapentane",C<sub>4</sub>H<sub>8</sub>Cl<sub>2</sub>O,bis-(2-chloroethyl)-ether,111-44-4,ZNSMNVMLTJELDZ-UHFFFAOYSA-N,41,
2975,bis-(2-chloroisopropyl) ether,C<sub>6</sub>H<sub>12</sub>Cl<sub>2</sub>O,DCIP,108-60-1,QCFYJCYNJLBDRT-UHFFFAOYSA-N,41,
2976,"1,2-bis(2-chloroethoxy)ethane",C<sub>6</sub>H<sub>12</sub>Cl<sub>2</sub>O<sub>2</sub>,,112-26-5,AGYUOJIYYGGHKV-UHFFFAOYSA-N,41,
2977,2-hydroxychlorobenzene,C<sub>6</sub>H<sub>5</sub>ClO,o-chlorophenol,95-57-8,ISPYQTSUDJAMAB-UHFFFAOYSA-N,41,
2978,3-hydroxychlorobenzene,C<sub>6</sub>H<sub>5</sub>ClO,m-chlorophenol,108-43-0,HORNXRXVQWOLPJ-UHFFFAOYSA-N,41,
2979,4-hydroxychlorobenzene,C<sub>6</sub>H<sub>5</sub>ClO,p-chlorophenol,106-48-9,WXNZTHHGJRFXKQ-UHFFFAOYSA-N,41,
2980,"2,3-dichlorophenol",C<sub>6</sub>H<sub>4</sub>Cl<sub>2</sub>O,,576-24-9,UMPSXRYVXUPCOS-UHFFFAOYSA-N,41,
2981,"2,4-dichlorophenol",C<sub>6</sub>H<sub>4</sub>Cl<sub>2</sub>O,,120-83-2,HFZWRUODUSTPEG-UHFFFAOYSA-N,41,
2982,"2,5-dichlorophenol",C<sub>6</sub>H<sub>4</sub>Cl<sub>2</sub>O,,583-78-8,RANCECPPZPIPNO-UHFFFAOYSA-N,41,
2983,"2,6-dichlorophenol",C<sub>6</sub>H<sub>4</sub>Cl<sub>2</sub>O,,87-65-0,HOLHYSJJBXSLMV-UHFFFAOYSA-N,41,
2984,"3,4-dichlorophenol",C<sub>6</sub>H<sub>4</sub>Cl<sub>2</sub>O,,95-77-2,WDNBURPWRNALGP-UHFFFAOYSA-N,41,
2985,"3,5-dichlorophenol",C<sub>6</sub>H<sub>4</sub>Cl<sub>2</sub>O,,591-35-5,VPOMSPZBQMDLTM-UHFFFAOYSA-N,41,
2986,"2,3,4-trichlorophenol",C<sub>6</sub>H<sub>3</sub>Cl<sub>3</sub>O,,15950-66-0,HSQFVBWFPBKHEB-UHFFFAOYSA-N,41,
2987,"2,3,5-trichlorophenol",C<sub>6</sub>H<sub>3</sub>Cl<sub>3</sub>O,,933-78-8,WWGQHTJIFOQAOC-UHFFFAOYSA-N,41,
2988,"2,4,5-trichlorophenol",C<sub>6</sub>H<sub>3</sub>Cl<sub>3</sub>O,,95-95-4,LHJGJYXLEPZJPM-UHFFFAOYSA-N,41,
2989,"2,3,6-trichlorophenol",C<sub>6</sub>H<sub>3</sub>Cl<sub>3</sub>O,,933-75-5,XGCHAIDDPMFRLJ-UHFFFAOYSA-N,41,
2990,"2,4,6-trichlorophenol",C<sub>6</sub>H<sub>3</sub>Cl<sub>3</sub>O,,88-06-2,LINPIYWFGCPVIE-UHFFFAOYSA-N,41,
2991,"3,4,5-trichlorophenol",C<sub>6</sub>H<sub>3</sub>Cl<sub>3</sub>O,,609-19-8,GBNHEBQXJVDXSW-UHFFFAOYSA-N,41,
2992,"2,3,4,5-tetrachlorophenol",C<sub>6</sub>H<sub>2</sub>Cl<sub>4</sub>O,,4901-51-3,RULKYXXCCZZKDZ-UHFFFAOYSA-N,41,
2993,"2,3,4,6-tetrachlorophenol",C<sub>6</sub>H<sub>2</sub>Cl<sub>4</sub>O,,58-90-2,VGVRPFIJEJYOFN-UHFFFAOYSA-N,41,
2994,"2,3,5,6-tetrachlorophenol",C<sub>6</sub>H<sub>2</sub>Cl<sub>4</sub>O,,935-95-5,KEWNKZNZRIAIAK-UHFFFAOYSA-N,41,
2995,hydroxypentachlorobenzene,C<sub>6</sub>HCl<sub>5</sub>O,pentachlorophenol,87-86-5,IZUPBVBPLAPZRR-UHFFFAOYSA-N,41,
2996,"3,4,5-trichloro-1,2-benzenediol",C<sub>6</sub>H<sub>3</sub>Cl<sub>3</sub>O<sub>2</sub>,"3,4,5-trichlorocatechol",56961-20-7,FUTDYIMYZIMPBJ-UHFFFAOYSA-N,41,
2997,"4,5-dichloro-1,2-benzenediol",C<sub>6</sub>H<sub>4</sub>Cl<sub>2</sub>O<sub>2</sub>,"4,5-dichlorocatechol",3428-24-8,ACCHWUWBKYGKNM-UHFFFAOYSA-N,41,
2998,"3,4,5,6-tetrachloro-1,2-benzenediol",C<sub>6</sub>H<sub>2</sub>Cl<sub>4</sub>O<sub>2</sub>,tetrachlorocatechol,1198-55-6,RRBMVWQICIXSEO-UHFFFAOYSA-N,41,
2999,"2,3,5,6-tetrachloro-p-benzoquinone",C<sub>6</sub>Cl<sub>4</sub>O<sub>2</sub>,chloranil,118-75-2,UGNWTBMOAKPKBL-UHFFFAOYSA-N,41,
3000,2-chloro-5-methylphenol,C<sub>7</sub>H<sub>7</sub>ClO,,615-74-7,SMFHPCZZAAMJJO-UHFFFAOYSA-N,41,
3001,4-chloro-2-methylphenol,C<sub>7</sub>H<sub>7</sub>ClO,,1570-64-5,RHPUJHQBPORFGV-UHFFFAOYSA-N,41,
3002,4-chloro-3-methylphenol,C<sub>7</sub>H<sub>7</sub>ClO,,59-50-7,CFKMVGJGLGKFKI-UHFFFAOYSA-N,41,
3003,1-chloro-2-methoxybenzene,C<sub>7</sub>H<sub>7</sub>ClO,2-chloroanisole,766-51-8,QGRPVMLBTFGQDQ-UHFFFAOYSA-N,41,
3004,1-chloro-3-methoxybenzene,C<sub>7</sub>H<sub>7</sub>ClO,3-chloroanisole,2845-89-8,YUKILTJWFRTXGB-UHFFFAOYSA-N,41,
3005,1-chloro-4-methoxybenzene,C<sub>7</sub>H<sub>7</sub>ClO,4-chloroanisole,623-12-1,YRGAYAGBVIXNAQ-UHFFFAOYSA-N,41,
3006,"1,2-dichloro-3-methoxybenzene",C<sub>7</sub>H<sub>6</sub>Cl<sub>2</sub>O,"2,3-dichloroanisole",1984-59-4,HFEASCCDHUVYKU-UHFFFAOYSA-N,41,
3007,"1,5-dichloro-2-methoxybenzene",C<sub>7</sub>H<sub>6</sub>Cl<sub>2</sub>O,"2,4-dichloroanisole",553-82-2,CICQUFBZCADHHX-UHFFFAOYSA-N,41,
3008,"1,4-dichloro-2-methoxybenzene",C<sub>7</sub>H<sub>6</sub>Cl<sub>2</sub>O,"2,5-dichloroanisole",1984-58-3,QKMNFFSBZRGHDJ-UHFFFAOYSA-N,41,
3009,"1,3-dichloro-2-methoxybenzene",C<sub>7</sub>H<sub>6</sub>Cl<sub>2</sub>O,"2,6-dichloroanisole",1984-65-2,KZLMCDNAVVJKPX-UHFFFAOYSA-N,41,
3010,"1,2-dichloro-4-methoxybenzene",C<sub>7</sub>H<sub>6</sub>Cl<sub>2</sub>O,"3,4-dichloroanisole",36404-30-5,VISJRVXHPNMYRH-UHFFFAOYSA-N,41,
3011,"1,3-dichloro-5-methoxybenzene",C<sub>7</sub>H<sub>6</sub>Cl<sub>2</sub>O,"3,5-dichloroanisole",33719-74-3,SSNXYMVLSOMJLU-UHFFFAOYSA-N,41,
3012,"1,2,3-trichloro-4-methoxybenzene",C<sub>7</sub>H<sub>5</sub>Cl<sub>3</sub>O,"2,3,4-trichloroanisole",54135-80-7,FRQUNVLMWIYOLV-UHFFFAOYSA-N,41,
3013,"1,2,5-trichloro-3-methoxybenzene",C<sub>7</sub>H<sub>5</sub>Cl<sub>3</sub>O,"2,3,5-trichloroanisole",54135-81-8,MKERQGLKSFEKAE-UHFFFAOYSA-N,41,
3014,"1,2,4-trichloro-3-methoxybenzene",C<sub>7</sub>H<sub>5</sub>Cl<sub>3</sub>O,"2,3,6-trichloroanisole",50375-10-5,OTFNCXLUCRUNCH-UHFFFAOYSA-N,41,
3015,"1,2,4-trichloro-5-methoxybenzene",C<sub>7</sub>H<sub>5</sub>Cl<sub>3</sub>O,"2,4,5-trichloroanisole",6130-75-2,SXKBHOQOOGRFJF-UHFFFAOYSA-N,41,
3016,"1,3,5-trichloro-2-methoxybenzene",C<sub>7</sub>H<sub>5</sub>Cl<sub>3</sub>O,"2,4,6-trichloroanisole",87-40-1,WCVOGSZTONGSQY-UHFFFAOYSA-N,41,
3017,"1,2,3-trichloro-5-methoxybenzene",C<sub>7</sub>H<sub>5</sub>Cl<sub>3</sub>O,"3,4,5-trichloroanisole",54135-82-9,GUCFBWGWRCILHN-UHFFFAOYSA-N,41,
3018,"1,2,3,4-tetrachloro-5-methoxybenzene",C<sub>7</sub>H<sub>4</sub>Cl<sub>4</sub>O,"2,3,4,5-tetrachloroanisole",938-86-3,FUUHMSUPRUNWRQ-UHFFFAOYSA-N,41,
3019,"1,2,3,5-tetrachloro-4-methoxybenzene",C<sub>7</sub>H<sub>4</sub>Cl<sub>4</sub>O,"2,3,4,6-tetrachloroanisole",938-22-7,ITXDBGLYYSJNPK-UHFFFAOYSA-N,41,
3020,"1,2,4,5-tetrachloro-3-methoxybenzene",C<sub>7</sub>H<sub>4</sub>Cl<sub>4</sub>O,"2,3,5,6-tetrachloroanisole",6936-40-9,WMMFIDNWZNCBCT-UHFFFAOYSA-N,41,
3021,pentachloromethoxybenzene,C<sub>7</sub>H<sub>3</sub>Cl<sub>5</sub>O,pentachloroanisole,1825-21-4,BBABSCYTNHOKOG-UHFFFAOYSA-N,41,
3022,"4,5-dichloro-2-methoxyphenol",C<sub>7</sub>H<sub>6</sub>Cl<sub>2</sub>O<sub>2</sub>,"4,5-dichloroguaiacol",2460-49-3,HAAFFTHBNFBVKY-UHFFFAOYSA-N,41,
3023,"3,4,5-trichloro-2-methoxyphenol",C<sub>7</sub>H<sub>5</sub>Cl<sub>3</sub>O<sub>2</sub>,"3,4,5-trichloroguaiacol",57057-83-7,RKEHLKXRUVUBJN-UHFFFAOYSA-N,41,
3024,"4,5,6-trichloro-2-methoxyphenol",C<sub>7</sub>H<sub>5</sub>Cl<sub>3</sub>O<sub>2</sub>,"4,5,6-trichloroguaiacol",2668-24-8,NIAJPNQTKGWEOI-UHFFFAOYSA-N,41,
3025,"2,3,4,5-tetrachloro-6-methoxyphenol",C<sub>7</sub>H<sub>4</sub>Cl<sub>4</sub>O<sub>2</sub>,tetrachloroguaiacol,2539-17-5,YZZVKLJKDFFSFL-UHFFFAOYSA-N,41,
3026,3-chlorobenzoic acid,C<sub>7</sub>H<sub>5</sub>ClO<sub>2</sub>,,535-80-8,LULAYUGMBFYYEX-UHFFFAOYSA-N,41,
3027,"1,2,3-trichloro-4,5-dimethoxybenzene",C<sub>8</sub>H<sub>7</sub>Cl<sub>3</sub>O<sub>2</sub>,"3,4,5-trichloroveratrole",16766-29-3,VKNITLPENCJQOP-UHFFFAOYSA-N,41,
3028,"1,2,3,4-tetrachloro-5,6-dimethoxybenzene",C<sub>8</sub>H<sub>6</sub>Cl<sub>4</sub>O<sub>2</sub>,tetrachloroveratrole,944-61-6,NCYHCGGUQGDEQW-UHFFFAOYSA-N,41,
3029,"3-chloro-2,6-dimethoxyphenol",C<sub>8</sub>H<sub>9</sub>ClO<sub>3</sub>,3-chlorosyringol,18113-22-9,WYEMCZZCZXKDNC-UHFFFAOYSA-N,41,
3030,"3,5-dichloro-2,6-dimethoxyphenol",C<sub>8</sub>H<sub>8</sub>Cl<sub>2</sub>O<sub>3</sub>,"3,5-dichlorosyringol",78782-46-4,IDKMFABKPPHDBI-UHFFFAOYSA-N,41,
3031,"3,5-dichloro-2-hydroxybenzoic acid",C<sub>7</sub>H<sub>4</sub>Cl<sub>2</sub>O<sub>3</sub>,,320-72-9,CNJGWCQEGROXEE-UHFFFAOYSA-N,41,
3032,"3,6-dichloro-2-hydroxybenzoic acid",C<sub>7</sub>H<sub>4</sub>Cl<sub>2</sub>O<sub>3</sub>,,3401-80-7,FKIKPQHMWFZFEB-UHFFFAOYSA-N,41,
3033,5-chloro-2-methoxybenzoic acid,C<sub>8</sub>H<sub>7</sub>ClO<sub>3</sub>,,3438-16-2,HULDRQRKKXRXBI-UHFFFAOYSA-N,41,
3034,2-chloroacetophenone,C<sub>8</sub>H<sub>7</sub>ClO,,532-27-4,IMACFCSSMIZSPP-UHFFFAOYSA-N,41,
3035,"2,2,2'',4'',5''-pentachloroacetophenone",C<sub>8</sub>H<sub>3</sub>Cl<sub>5</sub>O,,1203-86-7,WKJXVVFAALGBOH-UHFFFAOYSA-N,41,
3036,tetrachloroterephthaloyl chloride,C<sub>8</sub>Cl<sub>6</sub>O<sub>2</sub>,,719-32-4,YJIRZJAZKDWEIJ-UHFFFAOYSA-N,41,
3037,chloroxylenol,C<sub>8</sub>H<sub>9</sub>ClO,,88-04-0,OSDLLIBGSJNGJE-UHFFFAOYSA-N,41,
3038,"4,5,6,7-tetrachloro-1,3-isobenzofurandione",C<sub>8</sub>Cl<sub>4</sub>O<sub>3</sub>,,117-08-8,AUHHYELHRWCWEZ-UHFFFAOYSA-N,41,
3039,"3,4,5-trichloro-2,6-dimethoxyphenol",C<sub>8</sub>H<sub>7</sub>Cl<sub>3</sub>O<sub>3</sub>,trichlorosyringol,2539-26-6,ZZCSBXFJFLSDRR-UHFFFAOYSA-N,41,
